playerID,yearID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,BB,SO,ERA,IBB
burdefr01,5889,1,0,30,0,0,0,1,103,27,13,20,10,10.73,5.0
burdele01,35253,203,144,626,373,158,33,31,9202,3186,1246,628,1074,85.45,63.0
burdibi01,3777,12,14,30,24,22,0,1,665,226,78,56,71,7.34,0.0
burdini01,2018,0,0,2,0,0,0,0,4,3,3,2,2,20.25,0.0
burgmto01,33592,79,55,745,3,0,0,102,3776,1231,452,384,584,57.68,55.0
burgoam01,6018,8,10,144,1,0,0,20,481,160,82,77,156,12.92,5.0
burgoen01,3988,0,1,10,0,0,0,0,40,19,13,12,18,17.64,1.0
burgoen02,4031,3,4,73,0,0,0,3,205,65,40,38,82,10.33,5.0
burgohi01,2013,1,2,6,6,0,0,0,88,38,21,11,18,6.44,0.0
burkael01,7750,1,1,16,3,1,0,0,126,47,23,26,9,18.53,0.0
burkebi01,1887,0,1,2,2,1,0,0,45,21,10,5,3,6.0,0.0
burkebi02,3821,1,1,21,2,1,0,0,202,74,36,34,23,22.979999999999997,0.0
burkebo01,19316,38,46,254,88,27,4,5,2756,926,437,360,299,39.589999999999996,0.0
burkegr01,4022,3,6,80,0,0,0,0,232,91,41,38,61,9.82,7.0
burkeja01,5649,19,16,40,38,34,0,0,1002,345,112,34,256,19.73,0.0
burkeja02,2008,0,1,1,0,0,0,0,3,1,1,0,0,9.0,0.0
burkeje01,5686,3,11,23,14,6,0,0,369,144,76,94,84,19.07,0.0
burkejo02,1902,0,1,2,1,1,0,0,42,21,9,3,3,5.79,0.0
burkejo03,31934,166,136,445,423,21,6,1,7945,2866,1268,700,1766,69.73,59.0
burkejo04,3993,4,6,28,9,0,0,0,224,104,56,33,58,14.03,0.0
burkest01,3955,0,2,24,0,0,0,0,194,58,24,31,22,6.36,1.0
burketi01,17900,49,33,498,2,0,0,102,2098,624,211,219,444,30.83,71.0
burkhke01,9735,27,20,148,41,18,6,7,1559,546,222,165,181,26.619999999999997,0.0
burksa01,9561,4,11,52,21,5,0,2,655,206,103,133,86,22.97,0.0
burneaj01,34119,164,157,435,430,24,10,0,8194,2519,1210,1100,2513,68.27,35.0
burneal01,10059,8,11,177,0,0,0,0,517,178,90,72,108,34.57,9.0
burneco01,2018,7,0,30,0,0,0,1,114,27,11,11,35,2.61,2.0
burnese01,18097,15,23,380,13,1,1,10,1135,358,148,148,277,41.98,24.0
burnewa01,5871,14,21,68,27,5,1,1,788,259,104,97,122,10.68,6.0
burnsbi01,11460,30,52,117,85,45,10,2,2153,705,217,147,233,20.28,0.0
burnsbr01,15852,70,60,193,161,39,11,3,3283,1045,445,362,734,40.370000000000005,8.0
burnsco01,4025,1,1,27,0,0,0,0,88,38,15,17,23,8.68,3.0
burnsde01,3847,8,9,41,20,9,0,1,543,212,93,75,34,7.08,0.0
burnsdi01,5652,25,27,58,53,47,1,0,1381,473,157,80,199,15.969999999999999,0.0
burnsfa01,1901,0,0,1,0,0,0,0,3,2,1,1,0,9.0,0.0
burnsmi01,8026,3,5,60,8,0,0,0,311,129,67,29,75,24.17,5.0
burnsoy01,7544,8,5,25,11,10,1,4,416,152,63,30,40,20.369999999999997,0.0
burnspe01,15675,19,36,196,64,14,3,7,1702,607,303,230,303,46.480000000000004,8.0
burnssh01,5937,2,1,19,0,0,0,0,90,38,20,11,18,17.26,2.0
burnsto01,1880,0,0,1,0,0,0,0,4,2,0,2,1,0.0,0.0
burnsto02,13936,21,23,203,33,2,0,13,1469,439,189,175,252,26.32,21.0
burpoge01,1946,0,0,2,0,0,0,0,7,4,4,5,1,15.43,0.0
burrebr01,12051,18,25,106,56,0,0,0,1075,422,229,160,224,37.3,7.0
burreha01,1891,4,2,7,4,3,0,1,129,51,23,21,19,4.81,0.0
burrial01,1894,0,0,1,0,0,0,0,15,14,10,2,0,18.0,0.0
burrira01,31679,108,134,480,302,47,10,4,6566,2310,1015,764,1065,76.86,76.0
burrojo01,5830,0,3,30,2,0,0,2,130,40,27,28,22,30.08,0.0
burrose01,2005,0,0,1,0,0,0,0,3,4,3,0,0,27.0,0.0
burrote01,7982,4,4,50,3,0,0,1,206,85,49,38,35,28.74,1.0
burrry01,2018,0,0,8,0,0,0,0,29,12,8,6,6,7.45,1.0
burtoja01,16084,18,19,367,0,0,0,10,1083,311,138,136,305,24.35,22.0
burtoji01,3952,1,2,30,4,0,0,1,167,60,17,20,42,2.89,2.0
burtsmo01,9766,10,6,90,1,0,0,4,556,178,97,126,97,30.47,5.0
burttde01,3971,2,2,8,2,0,0,0,91,27,19,10,10,35.31,1.0
burwebi01,5769,9,8,70,6,1,0,6,655,253,106,79,49,14.0,0.0
burwedi01,3921,0,0,5,1,0,0,0,41,17,10,11,1,14.59,0.0
busbymi01,7990,5,6,45,6,0,0,0,246,99,59,37,50,38.42,0.0
busbyst01,15807,70,54,167,150,53,7,0,3182,1003,438,433,659,34.07,22.0
buschdo01,1965,0,1,12,3,0,0,0,93,36,15,8,9,4.35,0.0
buschma01,2016,0,0,3,0,0,0,0,13,2,1,1,3,2.08,1.0
busenal01,4035,5,2,51,0,0,0,0,171,59,29,23,49,9.81,0.0
bushda01,18073,56,69,211,187,6,3,0,3433,1199,601,296,768,53.6,21.0
bushefr01,3857,0,1,12,0,0,0,0,94,36,22,17,4,13.05,0.0
busheja01,5732,1,2,7,2,2,0,0,80,24,10,19,13,10.27,0.0
bushgu01,32833,176,136,542,308,151,16,34,8166,2950,1166,859,850,72.21,0.0
bushich01,1993,0,0,6,0,0,0,0,13,9,6,4,3,12.46,0.0
bushjo01,34566,195,183,489,366,225,35,20,9262,2992,1205,1263,1319,89.99000000000001,0.0
bushma01,6051,10,6,136,0,0,0,11,411,124,51,47,138,10.96,0.0
busketo01,15812,21,27,258,0,0,0,34,1438,479,195,167,212,37.699999999999996,45.0
butchjo01,13881,36,49,164,113,23,6,6,2501,931,409,229,363,35.74,19.0
butchma01,19405,95,106,334,229,104,14,9,5359,1935,741,583,485,47.49999999999999,0.0
butchmi01,7974,11,4,115,0,0,0,9,411,130,68,82,96,17.509999999999998,9.0
buterdr01,8060,0,0,6,0,0,0,0,13,5,4,4,4,64.8,0.0
butersa01,3971,0,0,2,0,0,0,0,6,0,0,1,1,0.0,0.0
butlabi01,7775,9,3,32,15,7,2,1,452,138,65,56,62,23.6,0.0
butlead01,1998,0,1,8,0,0,0,0,15,5,6,6,7,10.8,1.0
butlebi02,13808,23,35,134,86,10,5,1,1775,555,277,312,408,29.569999999999997,8.0
butlece01,3926,2,0,11,2,1,0,0,106,33,13,9,24,10.92,1.0
butlech01,1933,0,0,1,0,0,0,0,3,1,1,2,0,9.0,0.0
butleed01,12098,12,22,79,39,1,0,2,791,321,170,117,153,34.32,9.0
butleik01,1902,1,10,16,14,12,0,0,349,168,69,45,13,5.34,0.0
butlejo03,2009,0,0,3,0,0,0,0,12,7,4,6,3,9.0,0.0
butleke01,4027,0,0,18,0,0,0,0,66,19,15,12,18,31.05,0.0
butteto01,7854,2,3,43,5,0,0,0,287,81,33,56,85,15.29,2.0
buttrty01,2018,0,1,16,0,0,0,4,49,15,6,5,20,3.31,0.0
buxtora01,3887,0,2,19,0,0,0,2,108,34,17,21,23,8.870000000000001,0.0
buzhajo01,23560,71,96,326,200,44,15,7,4472,1425,607,457,678,43.309999999999995,67.0
byerlbu01,21475,22,22,237,17,4,0,14,1475,519,202,167,209,43.75,14.0
bynummi01,6009,2,5,29,8,0,0,0,192,78,55,33,52,68.02,2.0
byrdati01,24078,13,13,479,0,0,0,4,1019,308,164,203,326,71.09,19.0
byrdha01,13677,46,54,187,108,33,8,9,2483,890,400,355,381,51.63,9.0
byrdje01,1977,2,13,17,17,1,0,0,262,98,60,68,40,6.18,1.0
byrdpa01,30028,109,96,345,256,17,6,0,5091,1857,831,401,923,86.78,23.0
byrneje01,1929,0,1,3,1,0,0,0,22,11,6,6,1,7.36,0.0
byrneto01,25361,85,69,281,170,65,12,12,4086,1138,622,1037,766,71.58000000000001,10.0
bystrma01,13879,29,26,84,79,4,2,0,1305,454,206,158,258,28.060000000000002,9.0
cabrace01,6042,0,0,14,0,0,0,0,17,7,4,4,9,29.45,0.0
cabreal03,4025,1,1,32,0,0,0,0,83,23,16,23,31,9.9,1.0
cabreda01,12039,48,65,162,155,6,2,1,2677,884,506,520,674,37.459999999999994,17.0
cabreed01,2012,0,2,2,2,0,0,0,17,9,7,7,5,11.12,1.0
cabrefe01,14049,8,7,132,0,0,0,1,526,171,102,98,193,62.339999999999996,9.0
cabrejo01,11997,19,17,198,11,0,0,4,813,291,149,94,192,27.22,18.0
cabrema01,2016,5,1,41,0,0,0,6,115,31,12,19,32,2.82,1.0
cadargr01,21912,38,32,451,35,4,2,14,2173,716,321,403,539,55.77999999999999,36.0
cadorle01,21118,68,72,192,147,83,10,3,3772,1273,438,289,445,52.95,0.0
cadych01,3767,3,2,5,5,5,0,0,129,50,18,17,20,10.71,0.0
cahiljo01,5657,2,2,10,2,2,0,0,150,66,48,26,8,22.38,0.0
cahiltr01,22152,80,83,304,208,3,2,1,4030,1278,609,548,1007,53.19,12.0
cainbo01,9755,37,44,140,89,27,3,8,1884,618,314,316,249,25.200000000000003,0.0
